OBJECTID,ROADNAME,MAP_TYPE,MPWBIKEID,SHAPELEN
1184,E MARKET ST,2,1247,583.755205092028
1185,E MARKET ST,2,1248,583.311070273628
1186,S 15TH ST,2,1249,439.027585878083
1187,ALGONQUIN PKY,2,1250,340.009649368504
1188,E MARKET ST,2,1251,584.328020916414
1189,S 23RD ST,3,1252,345.175133601665
1190,S 23RD ST,3,1253,345.326612625905
1191,S 23RD ST,3,1254,368.748583082138
1192,S 23RD ST,3,1255,345.175133601665
1193,BANK ST,4,1256,102.266063578778
1194,W JEFFERSON ST,3,1257,218.858230341172
1195,HUMLER ST,3,1258,495.722342857203
1196,S 24TH ST,3,1259,364.662008729257
1197,S 24TH ST,3,1260,402.274598918611
1198,S 24TH ST,3,1261,200.759718651366
1199,S 24TH ST,3,1262,245.501783056677
1200,MAPLE ST,3,1263,243.156327486744
1201,S 24TH ST,3,1264,241.536860732708
1202,S 24TH ST,3,1265,230.801419614739
1203,S 24TH ST,3,1266,359.698727629776
1204,HUMLER ST,3,1267,89.0557505122627
1205,S 24TH ST,3,1268,200.618805014564
1206,S 24TH ST,3,1269,251.052007136817
1207,S 24TH ST,3,1270,249.152848907035
1208,S 25TH ST,3,1271,195.044239789301
1209,S 25TH ST,3,1272,344.69476380758
1210,S 24TH ST,3,1273,409.062451964487
1211,N 25TH ST,3,1274,254.895817108559
1212,S 24TH ST,3,1275,251.807498441108
1213,HUMLER ST,3,1276,573.722630295641
1214,S 25TH ST,3,1277,249.978774342768
1215,S 24TH ST,3,1278,249.473615982777
1216,S 25TH ST,3,1279,233.332022259082
1217,N 25TH ST,3,1280,239.285739205868
1218,N 24TH ST,3,1281,357.345085810169
1219,N 25TH ST,3,1282,220.771442580477
1220,N 25TH ST,3,1283,220.051043742998
1221,N 24TH ST,3,1284,251.595301729175
1222,N 25TH ST,3,1285,236.223436161496
1223,N 25TH ST,3,1286,217.603541715385
1224,N 25TH ST,3,1287,247.997579727995
1225,N 24TH ST,3,1288,343.36724275781
1226,N 25TH ST,3,1289,232.063737321753
1227,N 25TH ST,3,1290,220.370107795282
1228,N 25TH ST,3,1291,221.043084115129
1229,N 24TH ST,3,1292,252.727965550416
1230,N 24TH ST,3,1293,244.178889484355
1231,N 25TH ST,3,1294,240.720805727765
1232,N 25TH ST,3,1295,243.940664472912
1233,N 24TH ST,3,1296,244.063774630918
1234,N 25TH ST,3,1297,239.842337203042
1235,PORTLAND AVE,3,1298,56.0328171190818
1236,MAGAZINE ST,3,1299,254.32997104073
1237,S 19TH ST,3,1300,254.36329899581
1238,S 19TH ST,3,1301,250.439715210254
1239,S 19TH ST,3,1302,295.685429345488
1240,S 19TH ST,3,1303,240.388441983304
1241,N 19TH ST,3,1304,239.653694174788
1242,S 19TH ST,3,1305,255.159580926761
1243,S 19TH ST,3,1306,46.9002326907479
1244,N 19TH ST,3,1307,311.392281438252
1245,N 19TH ST,3,1308,247.838061665716
1246,N 19TH ST,3,1309,240.484582709201
1247,S 19TH ST,3,1310,158.426571488368
1248,S 19TH ST,3,1311,255.723473703594
1249,S 19TH ST,3,1312,203.057678993282
1250,N 19TH ST,3,1313,283.80764411939
1251,S 19TH ST,3,1314,240.782905080558
1252,S 19TH ST,3,1315,240.407382726318
1253,N 19TH ST,3,1316,226.113930674344
1254,S 19TH ST,3,1317,95.0234743618824
1255,S 19TH ST,3,1318,143.871918637409
1256,N 19TH ST,3,1319,195.555587896544
1257,N 19TH ST,3,1320,237.243681367555
1258,S 19TH ST,3,1321,196.655384602078
1259,S 19TH ST,3,1322,404.327154853353
1260,S 19TH ST,3,1323,255.638043443637
1261,N 19TH ST,3,1324,241.089666436991
1262,S 19TH ST,3,1325,256.00661438889
1263,N 19TH ST,3,1326,254.663179661104
1264,BANK ST,3,1327,128.216486975084
1265,N 19TH ST,3,1328,241.089666436991
1266,ROWAN ST,3,1329,159.863029563715
1267,ROWAN ST,3,1330,483.459324244164
1268,ROWAN ST,3,1331,98.2740503547066
1269,ROWAN ST,3,1332,381.449580386098
1270,ROWAN ST,3,1333,479.051378748128
1271,ROWAN ST,3,1334,320.541599048457
1272,ROWAN ST,3,1335,1064.32367271041
1273,ROWAN ST,3,1336,480.181694179212
1274,ROWAN ST,3,1337,488.275700613368
1275,ROWAN ST,3,1338,474.86040363593
1276,ROWAN ST,3,1339,478.242855350917
1277,ROWAN ST,3,1340,685.384004516518
1278,ROWAN ST,3,1341,480.095056444483
1279,ROWAN ST,3,1342,473.517565962527
1280,ROWAN ST,3,1343,480.351952805006
1281,ROWAN ST,3,1344,482.151873398198
1282,S 23RD ST,3,1345,344.391633317258
1283,S 23RD ST,3,1346,332.752080184635
1284,S 23RD ST,3,1347,358.775700520497
1285,S 23RD ST,3,1348,334.85814972936
1286,S 23RD ST,3,1349,796.752591224292
1287,S 23RD ST,3,1350,302.585525920648
1288,S 23RD ST,3,1351,335.361882335282
1289,S 23RD ST,3,1352,334.96843218493
1290,S 23RD ST,3,1353,313.790048968511
1291,S 23RD ST,3,1354,275.301646145496
1292,S 23RD ST,3,1355,341.671637859286
1293,S 23RD ST,3,1356,439.509967505049
1294,S 23RD ST,3,1357,344.622073946774
1295,S 23RD ST,3,1358,334.621695901588
1296,DUMESNIL ST,3,1359,64.5058057926118
1297,S 23RD ST,3,1360,414.045209146235
1298,S 23RD ST,3,1361,476.08930942835
